Frequency (Hz),Trace 1 (dBV),Phase (deg)
0,5.669576540296636,0
6.103515625,5.409672177279671,179.4801310800735
12.20703125,1.92275040221665,-0.8293729682635202
18.310546875,-8.794114607151203,175.6291368105771
24.4140625,-32.87267134415505,-128.3466253026308
30.517578125,-41.87081471412892,29.33455635836072
36.62109375,-32.64687643818773,-145.555310787263
42.724609375,-35.37574221765909,43.11121478905196
48.828125,-28.70054611180962,-142.1690472508282
54.931640625,-25.20192973041156,27.61379988415285
61.03515625,-24.27699720889127,-141.0778441119809
67.138671875,-24.74964896431842,52.70029576987102
73.2421875,-27.2443004161731,-93.56582423246165
79.345703125,-30.33741734635075,150.1899798839667
85.44921875,-31.82542218640952,8.270419814933598
91.552734375,-27.19065361612176,-138.1540762504609
97.65625,-25.19280834280551,65.53471617717689
103.759765625,-24.44587580760501,-96.46243913483927
109.86328125,-25.0343414654053,-164.6081948158352
115.966796875,-27.28785240129589,43.29923246038653
122.0703125,-27.15638950935694,-124.5655513947812
128.173828125,-28.94543698684596,51.61482699611165
134.27734375,-33.90588232151358,-136.325755732592
140.380859375,-30.34607917241259,48.58080804618223
146.484375,-27.13807111513278,-124.9154996185035
152.587890625,-25.53829025695044,48.93618099910583
158.69140625,-26.42244290032836,174.9179023970414
164.794921875,-30.82449539763181,8.08629507971458
170.8984375,-38.30107043668966,-132.9628150301888
177.001953125,-38.5165941209834,58.01274320294156
183.10546875,-32.19747595792653,-108.2738834828176
189.208984375,-30.66135520262178,81.12994961856745
195.3125,-27.13445296121659,-96.37693026770803
201.416015625,-23.85120601925658,66.67197286652826
207.51953125,-21.78579993622638,-142.6069946077013
213.623046875,-21.4366107308972,47.95273408691586
219.7265625,-21.3780235858707,-137.2579810374162
225.830078125,-21.89438753628952,31.75802879643214
231.93359375,-23.6440484242499,-149.8939798513409
238.037109375,-26.29636969655908,24.82154031590878
244.140625,-29.93359631586511,-167.3528932283648
250.244140625,-29.07204019683002,142.5441755762445
256.34765625,-29.4087911857415,-29.27749921537387
262.451171875,-30.83286338788646,169.6828387929908
268.5546875,-31.5173509875411,39.7700651354034
274.658203125,-34.10896388759659,-66.40173518553937
280.76171875,-32.48587226932369,92.57646492721943
286.865234375,-31.29107290669564,-103.1023452024293
292.96875,-31.94214816119631,70.05664399944436
299.072265625,-36.75914927175052,-124.8498714337107
305.17578125,-36.70373749052708,-51.41217239607478
311.279296875,-31.93388944269545,61.11977422820748
317.3828125,-25.85046803702825,-130.5237741558187
323.486328125,-23.73737646525072,117.975244150066
329.58984375,-23.76747517771635,-23.04322729593737
335.693359375,-25.64371785731158,178.029079357992
341.796875,-28.70106539658718,3.441335190687036
347.900390625,-25.40030907931041,-173.3944101123281
354.00390625,-22.76014244432552,10.99121812178997
360.107421875,-22.80226877906418,-174.414425626163
366.2109375,-24.30512186850708,-15.9458073442722
372.314453125,-28.74597456787303,81.37881254147325
378.41796875,-39.98209754857366,-154.0255796447579
384.521484375,-32.91526083593961,47.27416510588865
390.625,-27.95538360504756,79.0949058743161
396.728515625,-25.79661005821296,-91.17047789525498
402.83203125,-25.04618319936964,-29.64206646325697
408.935546875,-25.8724789219951,-177.237215147595
415.0390625,-31.82721224639447,21.26268470924022
421.142578125,-43.44257913176308,-152.9752488890414
427.24609375,-32.59604260270372,43.87273422269061
433.349609375,-33.01686828540244,-122.4843450979831
439.453125,-38.52512102110153,57.2932493310717
445.556640625,-31.50418205467416,-130.8797297097115
451.66015625,-27.13033408397943,49.6527183365174
457.763671875,-24.8511072951578,0.5881213963825965
463.8671875,-24.97435416448288,-158.4493274619364
469.970703125,-26.80980902005436,19.56934920747494
476.07421875,-32.80326746436821,-159.1633954327883
482.177734375,-42.90025904026288,34.00825656413266
488.28125,-32.47782105907493,-111.698059024202
494.384765625,-31.39417425172401,120.8582759363973
500.48828125,-30.42193646900497,2.501613108529257
506.591796875,-29.43642515699123,-142.4900072555022
512.6953125,-27.71161616561388,82.15694626691501
518.798828125,-29.04467359425057,-90.89997642236339
524.90234375,-33.51122626798749,62.26997362038748
531.005859375,-37.31251233265115,-158.1827625117245
537.109375,-36.43497389399394,-7.07995818963732
543.212890625,-41.70478595388207,174.6859809028888
549.31640625,-36.49804202412862,-6.648077346141819
555.419921875,-32.41957844040626,-179.1292875706131
561.5234375,-34.59498853130577,16.51616369043254
567.626953125,-56.73082873410785,-136.1354171786026
573.73046875,-30.87761368246293,69.45314403974166
579.833984375,-28.19480419121101,-100.5856050251986
585.9375,-29.12078108395642,82.88379517791998
592.041015625,-30.45864619502965,-101.2320663762399
598.14453125,-32.46650345269722,28.28000879254465
604.248046875,-34.14556524963408,132.9115606283805
610.3515625,-32.55555167491905,-53.16766948134549
616.455078125,-30.8769309633957,139.2773668397317
622.55859375,-31.0562952479343,-30.78196719148958
628.662109375,-29.793266606553,139.0318312771892
634.765625,-27.83957453462851,-73.80317036357243
640.869140625,-25.90184020761884,88.01659962485991
646.97265625,-26.91521683383034,-106.5268508248716
653.076171875,-30.29270676350442,79.46855398759858
659.1796875,-30.05135256270625,-38.46775777831466
665.283203125,-26.95527145031731,-154.693952958443
671.38671875,-27.05928891860152,65.15879883881576
677.490234375,-34.59976603060583,-130.5210211954156
683.59375,-51.70999099397417,46.91820744885818
689.697265625,-40.2617077710684,120.1267053833854
695.80078125,-33.01140724696849,-42.37168786736084
701.904296875,-29.24686348125864,141.5566469021718
708.0078125,-28.6454773565643,-82.09624133558228
714.111328125,-35.38571446753284,53.0562034136934
720.21484375,-33.82880935411835,82.65998703064166
726.318359375,-28.83217625951179,-37.14351621067061
732.421875,-28.00320351066672,-132.5998338036096
738.525390625,-28.77745017593225,101.3426656452808
744.62890625,-30.50711773963007,-95.75735202453421
750.732421875,-29.89896383353188,115.1491254787855
756.8359375,-28.49731112855345,-11.84672284420026
762.939453125,-30.28632258581193,174.4553130894311
769.04296875,-34.30396629008659,-7.08128101570184
775.146484375,-36.08108193985849,162.5930772366007
781.25,-32.51379580411642,-47.84061848355061
787.353515625,-37.02441602433965,83.58114563303492
793.45703125,-46.19369723807807,-119.7190637788579
799.560546875,-43.76482734636133,51.44268935656885
805.6640625,-37.62361529644859,-133.6057206596746
811.767578125,-32.72132588756853,26.33430748722282
817.87109375,-30.94254824391563,84.30205670754027
823.974609375,-30.34702542591372,-130.8194647460822
830.078125,-27.77561417428663,40.80073615795709
836.181640625,-25.67777196063194,-129.9233068765687
842.28515625,-23.58314477313879,135.2003469606183
848.388671875,-22.19005696805391,38.40087624416583
854.4921875,-22.60383952718453,-138.1212649365129
860.595703125,-23.50711456965923,35.88339215590262
866.69921875,-24.53195787894293,-22.75583070010694
872.802734375,-25.7713116846898,-165.6615038769442
878.90625,-26.19498614215034,16.59260573992037
885.009765625,-27.41546131240204,-173.1912296063297
891.11328125,-32.05978056861792,-10.41126442115573
897.216796875,-40.59892795938394,143.2941465314176
903.3203125,-58.5375859898254,-76.46871146760408
909.423828125,-38.61343450865039,83.20441530342779
915.52734375,-35.749414354607,-109.5075918246198
921.630859375,-33.32586710170887,55.18845874429056
927.734375,-29.40905642831514,-124.3865203280576
933.837890625,-31.85267763365115,-114.3041382923872
939.94140625,-36.0974484490132,75.21753508087379
946.044921875,-30.76570200850858,-106.5593844958457
952.1484375,-25.85938603432293,80.75435131314083
958.251953125,-24.64689126404664,-80.09435615646886
964.35546875,-27.94879621275093,118.8409598605523
970.458984375,-31.70450112122033,-41.76330279168201
976.5625,-35.98685302084464,155.2994843166531
982.666015625,-40.24666283815152,-5.867015516254349
988.76953125,-42.93406829974871,-150.1759712671869
994.873046875,-36.03015977751545,58.40918922635697
1000.9765625,-30.84310771475522,-107.9993411898694
1007.080078125,-27.97266763494855,83.5736244569309
1013.18359375,-27.92000008679947,-97.6776095276828
1019.287109375,-27.63528132948537,-10.79711063679146
1025.390625,-26.89915167732721,-97.2779751246641
1031.494140625,-26.49784869635873,93.23188877172727
1037.59765625,-26.60705996762292,-106.0868031720168
1043.701171875,-27.23107347116698,68.33915856981962
1049.8046875,-29.89743873537296,-110.5361352844645
1055.908203125,-32.23289112915471,66.90659838757161
1062.01171875,-35.25879951309729,-117.0995336628455
1068.115234375,-45.11728432763452,101.008469391
1074.21875,-41.38169454105974,-61.26947636967932
1080.322265625,-34.03710035619538,113.7458239671232
1086.42578125,-33.92576079137137,-52.04088913924705
1092.529296875,-33.17804983550783,139.5823354511571
1098.6328125,-31.62256056530436,-36.9079460809059
1104.736328125,-27.34630298825963,150.5833264557526
1110.83984375,-24.77849675546057,-14.47562212151408
1116.943359375,-23.83343063782476,175.6055687907596
1123.046875,-23.26431754939397,7.664417186072788
1129.150390625,-23.25918413444975,-145.5736011254927
1135.25390625,-24.35169201944325,51.58963156844455
1141.357421875,-26.4674165477689,-125.086344330407
1147.4609375,-25.38270627195267,-79.97029709960462
1153.564453125,-21.55047179548433,115.6910831192548
1159.66796875,-19.88837033725802,-34.67026360399954
1165.771484375,-19.78270316594727,-172.2914438822078
1171.875,-20.25598894864481,35.74644438650391
1177.978515625,-22.93082165849786,-132.1607116068032
1184.08203125,-27.3708443597954,25.08390789409442
1190.185546875,-32.39174728357337,-178.2671612745215
1196.2890625,-55.95229240318958,-2.864050635311001
1202.392578125,-35.38467878256478,173.374582895752
1208.49609375,-34.14110365818347,2.597302947860309
1214.599609375,-34.7131890979273,-24.39054323087162
1220.703125,-34.80321964670929,169.81412120915
1226.806640625,-31.89132845129593,-22.22432922955544
1232.91015625,-32.26404953054069,126.741199822488
1239.013671875,-32.99866987225948,-160.7006995766812
1245.1171875,-32.92492547898891,4.628656649881789
1251.220703125,-28.95741037485001,172.3575822905476
1257.32421875,-24.30916901454734,-9.498960599000933
1263.427734375,-22.53047856714662,-22.39285591030536
1269.53125,-22.06799735127337,172.0698815892897
1275.634765625,-22.7780079837633,11.22823049909208
1281.73828125,-25.01986522677963,-149.5783301690402
1287.841796875,-27.13728527427212,55.65048001981709
1293.9453125,-29.68871108022508,-86.1620628260677
1300.048828125,-30.86673555043733,124.0461765708552
1306.15234375,-30.46240594866018,-27.92557251547092
1312.255859375,-31.06299867338925,104.481490422426
