Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,5.21183756606152,0,-47.78089194021008,180
4.8828125,4.904296303478808,179.844751559706,-47.9004519347118,15.499201626999
9.765625,1.389683695125163,179.3495447688926,-50.7254573647021,39.06374636947783
14.6484375,-9.151662503853768,176.6137199968703,-56.25782053722795,79.39789039205488
19.53125,-27.42422844505166,135.038249557028,-58.07865042667763,91.8303333774103
24.4140625,-28.40429784736661,18.59127096696998,-58.46182252159183,50.36838956193176
29.296875,-28.36086960091092,1.799350266428109,-58.88864827007177,24.88173267544812
34.1796875,-28.27395367283637,176.0164967267905,-59.11839899200043,17.10122030430253
39.0625,-28.48400131051389,165.0070992010004,-58.1449821603518,6.151183994689491
43.9453125,-28.93245397553114,152.8228053870859,-56.57896480703095,162.4124887930201
48.828125,-28.96449105637541,152.489933467859,-56.52155863666886,148.9670195217783
53.7109375,-28.6065105301146,153.9976521630773,-56.52179270294891,138.7840106445886
58.59375,-28.29193889572768,158.0252508373168,-57.30263822345998,127.730444524243
63.4765625,-28.36586443237512,168.9240016438801,-58.45740339208038,146.2113666259851
68.359375,-28.42596162495646,179.8089599257922,-58.98945978524358,142.0124095754173
73.2421875,-28.6408835196397,12.13169296554829,-59.47002769481001,57.36216867262693
78.125,-29.04581359591363,50.4610993193418,-59.00425907701077,40.54803502909303
83.0078125,-29.15715281782133,145.9901132729058,-58.72800138337725,58.27511269584743
87.890625,-28.92879061404234,11.80152233247975,-59.49136674262265,70.61155371908519
92.7734375,-28.86194161672185,22.14264391463795,-59.41651600236894,179.6060020405536
97.65625,-28.61977693434422,6.824220587302595,-59.0349650318951,117.3591087135232
102.5390625,-28.12203646262435,160.4012126090642,-58.64958727185932,104.6348582004461
107.421875,-28.09889171380993,148.3382597716031,-58.50531441193878,110.1101208915119
112.3046875,-28.41265632529661,131.349077541124,-58.73370042529002,102.4351530973163
117.1875,-28.28904939467692,126.1297108276578,-59.18165748729077,39.57363794507366
122.0703125,-28.21795215539005,101.4208895765345,-59.45227603121314,2.5105095951564
126.953125,-28.31100979551199,114.4640554276346,-59.24704604486959,57.62164900815132
131.8359375,-28.36229207578845,132.6155504276521,-58.71428744419975,136.7992289966723
136.71875,-28.415288956323,24.96854176633257,-58.42299005758025,132.1761460407656
141.6015625,-28.57822521485156,92.99952014514287,-58.05577532198922,127.3925765087117
146.484375,-28.64142680148611,98.08001214063407,-57.53748605864786,123.6672650512421
151.3671875,-28.52852841377876,97.07207683909003,-57.27817622030155,122.5901128809849
156.25,-28.87827016711661,141.0968071629974,-57.14937881657033,146.7943271922493
161.1328125,-29.00481695599664,124.8468752789488,-57.22630759132375,1.38016323257035
166.015625,-29.37581762422393,125.3970241123589,-57.61755467251749,19.31412387946638
170.8984375,-29.16016621953325,109.1050184500806,-58.01243715714377,8.624054586366295
175.78125,-28.81170417873008,66.83841487411989,-58.45421882639717,171.4486073538528
180.6640625,-29.27483026995402,29.6670114752942,-58.98307650067814,137.0540325916788
185.546875,-29.3133979396421,7.485731938228099,-59.08500640859344,61.13585674061612
190.4296875,-29.09772109281537,175.3342439645219,-58.82472800350077,52.32201693799573
